date,product_name,category,quantity,unit_price,customer_id,total_revenue
2022-12-11,Dress Summer,Accessory,4,765033.0,1807,3060132.0
2022-02-18,Jacket Leather,Jacket,1,1646125.0,2652,1646125.0
2022-02-28,Scarf Wool,Jacket,1,403253.0,2932,403253.0
2022-06-19,Jeans Slim,Accessory,5,431516.0,1226,2157580.0
2022-07-07,Jeans Slim,Jeans,5,713988.0,1059,3569940.0
2022-09-28,T-Shirt Basic,Hoodie,2,1737651.0,2100,3475302.0
2022-07-09,Jeans Slim,Hoodie,4,1231256.0,1428,4925024.0
2022-06-24,Hoodie Oversize,Jeans,2,1109000.0,1728,2218000.0
2022-02-20,Scarf Wool,Dress,4,1343302.0,2156,5373208.0
2022-12-30,T-Shirt Basic,Hoodie,1,897086.0,1932,897086.0
2022-02-24,Hoodie Oversize,T-Shirt,2,1425014.0,1498,2850028.0
2022-09-01,Jacket Leather,Accessory,5,859508.0,1816,4297540.0
2022-11-16,Dress Summer,Accessory,2,1530863.0,1910,3061726.0
2022-05-11,Jacket Leather,Jeans,2,664307.0,2617,1328614.0
2022-11-03,Dress Summer,Hoodie,1,680197.0,2329,680197.0
2022-05-15,Jacket Leather,Dress,5,1059694.0,1067,5298470.0
2022-01-21,Jeans Slim,Hoodie,5,917680.0,1230,4588400.0
2022-11-25,Hoodie Oversize,Accessory,3,1254580.0,1983,3763740.0
2022-06-16,Dress Summer,Jacket,3,814651.0,1333,2443953.0
2022-10-01,T-Shirt Basic,T-Shirt,3,607354.0,2929,1822062.0
2022-03-30,Hoodie Oversize,Jeans,1,978203.0,1277,978203.0
2022-11-12,T-Shirt Basic,Jacket,2,1119483.0,2897,2238966.0
2022-01-14,Hoodie Oversize,Dress,5,471030.0,2608,2355150.0
2022-08-30,Hoodie Oversize,Jacket,5,1112914.0,1721,5564570.0
2022-09-22,Jacket Leather,Jacket,2,744848.0,2808,1489696.0
2022-12-12,Dress Summer,Dress,5,858300.0,1144,4291500.0
2022-02-22,Dress Summer,Jacket,2,682943.0,2275,1365886.0
2022-12-06,Hoodie Oversize,Jeans,1,1693686.0,2820,1693686.0
2022-04-02,Jeans Slim,Accessory,1,1309171.0,1691,1309171.0
2022-09-21,Jeans Slim,Hoodie,1,656813.0,2976,656813.0
2022-02-04,T-Shirt Basic,Jacket,2,1249799.0,2104,2499598.0
2022-07-25,T-Shirt Basic,Jeans,2,1565287.0,1057,3130574.0
2022-03-22,Jacket Leather,Hoodie,4,872527.0,2390,3490108.0
2022-02-19,Hoodie Oversize,Hoodie,5,1536434.0,1308,7682170.0
2022-12-26,T-Shirt Basic,Jacket,5,489343.0,1174,2446715.0
2022-01-02,T-Shirt Basic,Jeans,4,1525311.0,2486,6101244.0
2022-02-23,Scarf Wool,Accessory,4,1087456.0,1750,4349824.0
2022-04-16,Hoodie Oversize,Jacket,1,595610.0,2004,595610.0
2022-09-17,Jacket Leather,Dress,4,881069.0,1678,3524276.0
2022-11-06,T-Shirt Basic,Hoodie,2,1781389.0,2620,3562778.0
2022-07-10,Jacket Leather,Jacket,3,1464512.0,2517,4393536.0
2022-08-06,Dress Summer,Hoodie,2,1141384.0,1560,2282768.0
2022-02-13,Jacket Leather,Jeans,4,428504.0,2663,1714016.0
2022-06-11,Jeans Slim,T-Shirt,5,897608.0,2705,4488040.0
2022-07-21,Jeans Slim,Jacket,2,657730.0,2890,1315460.0
2022-09-27,Jacket Leather,Accessory,5,360052.0,2398,1800260.0
2022-12-17,Jeans Slim,Jacket,2,1090417.0,2979,2180834.0
2022-10-31,Dress Summer,Hoodie,5,1628238.0,1349,8141190.0
2022-09-28,Hoodie Oversize,Jeans,2,1297180.0,2091,2594360.0
2022-08-03,Jeans Slim,Dress,5,637005.0,1330,3185025.0
2022-09-09,Jeans Slim,Accessory,3,1139056.0,2876,3417168.0
2022-07-09,Jacket Leather,Jeans,1,1712013.0,1194,1712013.0
2022-10-23,Dress Summer,Jacket,2,1370518.0,2179,2741036.0
2022-08-01,Hoodie Oversize,Dress,3,1318685.0,2184,3956055.0
2022-07-27,Jacket Leather,Jeans,1,1750645.0,2720,1750645.0
2022-08-25,Jacket Leather,T-Shirt,2,1488254.0,1266,2976508.0
2022-12-04,Scarf Wool,Accessory,3,461766.0,1168,1385298.0
2022-02-22,Dress Summer,Hoodie,3,788834.0,1145,2366502.0
2022-10-07,Hoodie Oversize,Jeans,3,1745968.0,1186,5237904.0
2022-08-05,Dress Summer,Jeans,4,1009043.0,1886,4036172.0
2022-09-09,Hoodie Oversize,T-Shirt,5,423038.0,1865,2115190.0
2022-07-07,Dress Summer,Jacket,1,960838.0,1774,960838.0
2022-02-10,Jacket Leather,Accessory,5,1330340.0,2447,6651700.0
2022-06-06,Jacket Leather,Accessory,5,1796200.0,2007,8981000.0
2022-01-15,T-Shirt Basic,Hoodie,5,752053.0,1786,3760265.0
2022-10-28,Jeans Slim,Jeans,3,1046835.0,1457,3140505.0
2022-03-06,Scarf Wool,Dress,5,1613505.0,2864,8067525.0
2022-12-11,Dress Summer,Jeans,4,800664.0,1345,3202656.0
2022-11-23,Scarf Wool,Hoodie,2,419355.0,1735,838710.0
2022-01-09,T-Shirt Basic,Jeans,3,1720851.0,1554,5162553.0
2022-12-10,Jeans Slim,T-Shirt,1,1007083.0,2021,1007083.0
2022-05-09,Dress Summer,Jeans,2,1029315.0,2540,2058630.0
2022-05-16,Hoodie Oversize,Jeans,2,1212860.0,1788,2425720.0
2022-03-04,Jeans Slim,Dress,2,255482.0,2820,510964.0
2022-05-19,Jacket Leather,T-Shirt,5,1693253.0,1936,8466265.0
2022-03-22,T-Shirt Basic,T-Shirt,5,810249.0,1705,4051245.0
2022-06-12,Jeans Slim,Jeans,3,865244.0,2128,2595732.0
2022-10-16,Jeans Slim,Accessory,5,519869.0,1247,2599345.0
2022-09-18,Jacket Leather,Dress,5,836135.0,1812,4180675.0
2022-08-19,Dress Summer,Jeans,5,1496112.0,2047,7480560.0
2022-02-10,Hoodie Oversize,Jeans,3,1489987.0,1953,4469961.0
2022-01-28,Jacket Leather,Hoodie,3,1700485.0,1815,5101455.0
2022-05-15,Hoodie Oversize,Hoodie,4,875006.0,2549,3500024.0
2022-07-20,Dress Summer,Accessory,4,1348518.0,1144,5394072.0
2022-11-24,Jeans Slim,Dress,4,1036218.0,1730,4144872.0
2022-09-25,Hoodie Oversize,Jacket,4,1496235.0,2719,5984940.0
2022-02-02,T-Shirt Basic,Hoodie,2,1354440.0,1863,2708880.0
2022-02-17,T-Shirt Basic,Jacket,2,820250.0,2778,1640500.0
2022-03-03,Jacket Leather,T-Shirt,4,771844.0,2217,3087376.0
2022-08-04,Dress Summer,Hoodie,4,641286.0,1465,2565144.0
2022-10-20,Jacket Leather,Hoodie,1,1143599.0,2808,1143599.0
2022-04-09,Jacket Leather,Dress,2,1743956.0,1375,3487912.0
2022-06-21,Scarf Wool,Accessory,1,560103.0,1677,560103.0
2022-12-26,Jacket Leather,Jacket,1,397641.0,1692,397641.0
2022-08-02,Scarf Wool,Hoodie,5,435071.0,1629,2175355.0
2022-02-04,T-Shirt Basic,Hoodie,3,1463803.0,2290,4391409.0
2022-08-15,T-Shirt Basic,Dress,2,792662.0,2402,1585324.0
2022-04-11,Jacket Leather,Dress,4,597769.0,2574,2391076.0
2022-05-11,T-Shirt Basic,Accessory,4,796908.0,1556,3187632.0
2022-09-14,Dress Summer,Jacket,3,1250263.0,1863,3750789.0
2022-01-05,Scarf Wool,T-Shirt,2,1097520.0,1074,2195040.0
2022-08-06,Scarf Wool,Accessory,4,1402564.0,1438,5610256.0
2022-09-12,Jacket Leather,T-Shirt,4,775565.0,1881,3102260.0
2022-12-25,T-Shirt Basic,Jeans,5,950644.0,1226,4753220.0
2022-10-10,Hoodie Oversize,Hoodie,1,408051.0,2843,408051.0
2022-07-26,Scarf Wool,Jacket,4,363241.0,1308,1452964.0
2022-01-15,Jacket Leather,Accessory,2,966496.0,1966,1932992.0
2022-12-12,Jacket Leather,Hoodie,3,717475.0,1348,2152425.0
2022-02-11,Dress Summer,Jacket,5,1199841.0,1476,5999205.0
2022-06-28,Jeans Slim,Jacket,2,316653.0,2339,633306.0
2022-03-04,Jeans Slim,Jacket,5,438738.0,1525,2193690.0
2022-12-18,Scarf Wool,Hoodie,1,1591046.0,2449,1591046.0
2022-08-19,Dress Summer,Accessory,4,1127783.0,1524,4511132.0
2022-08-29,Dress Summer,Dress,2,1353685.0,1562,2707370.0
2022-02-21,Dress Summer,Hoodie,3,1555057.0,2849,4665171.0
2022-04-06,Scarf Wool,Jacket,1,968943.0,2970,968943.0
2022-08-10,Jeans Slim,Accessory,1,1429644.0,2273,1429644.0
2022-08-19,Dress Summer,Jeans,5,1063108.0,2655,5315540.0
2022-08-25,T-Shirt Basic,T-Shirt,1,595261.0,1569,595261.0
2022-05-23,Jacket Leather,Jacket,2,773367.0,2206,1546734.0
2022-06-20,Jacket Leather,Jeans,5,1010043.0,2986,5050215.0
2022-01-29,Hoodie Oversize,Dress,1,741173.0,2800,741173.0
2022-02-05,Hoodie Oversize,Jacket,3,770068.0,1106,2310204.0
2022-01-13,Scarf Wool,Jeans,2,772959.0,1191,1545918.0
2022-06-09,Scarf Wool,Jacket,3,440402.0,2161,1321206.0
2022-11-23,Jacket Leather,Hoodie,3,381196.0,1700,1143588.0
2022-07-06,T-Shirt Basic,Accessory,5,322069.0,2144,1610345.0
2022-08-31,Jeans Slim,Jeans,4,421982.0,2778,1687928.0
2022-03-27,Jeans Slim,Accessory,5,782746.0,1831,3913730.0
2022-10-11,Scarf Wool,Hoodie,2,1170501.0,1072,2341002.0
2022-03-07,T-Shirt Basic,Hoodie,2,541628.0,1755,1083256.0
2022-06-19,Scarf Wool,Accessory,5,1626414.0,2155,8132070.0
2022-02-14,Jeans Slim,Jeans,4,1502993.0,1457,6011972.0
2022-03-03,Scarf Wool,Accessory,5,1056817.0,2805,5284085.0
2022-05-14,Dress Summer,Accessory,2,1372525.0,1905,2745050.0
2022-10-11,Scarf Wool,T-Shirt,4,817809.0,1479,3271236.0
2022-01-28,Jacket Leather,Jeans,2,307006.0,1052,614012.0
2022-04-18,Scarf Wool,T-Shirt,4,1651716.0,2004,6606864.0
2022-02-13,Jacket Leather,Jacket,4,448080.0,1574,1792320.0
2022-12-06,T-Shirt Basic,Accessory,5,1719303.0,2143,8596515.0
2022-10-13,Jeans Slim,Jacket,5,1136418.0,2901,5682090.0
2022-11-27,Hoodie Oversize,Jeans,5,723623.0,2288,3618115.0
2022-05-08,Hoodie Oversize,Accessory,4,1018063.0,2263,4072252.0
2022-12-14,Jeans Slim,Jacket,4,1027526.0,2375,4110104.0
2022-08-19,Hoodie Oversize,Dress,2,286095.0,1893,572190.0
2022-07-09,Scarf Wool,Hoodie,3,800963.0,1255,2402889.0
2022-08-13,T-Shirt Basic,Accessory,5,1396792.0,1685,6983960.0
2022-10-10,T-Shirt Basic,Hoodie,2,1040607.0,2333,2081214.0
2022-05-01,Jeans Slim,T-Shirt,2,628557.0,2773,1257114.0
2022-04-26,Hoodie Oversize,Jacket,1,769420.0,2855,769420.0
2022-08-21,Scarf Wool,T-Shirt,5,1587734.0,2631,7938670.0
2022-09-16,T-Shirt Basic,Accessory,2,1064602.0,2873,2129204.0
2022-12-25,T-Shirt Basic,Hoodie,1,1068946.0,2519,1068946.0
2022-07-17,Dress Summer,Hoodie,5,1740275.0,1057,8701375.0
2022-05-17,Dress Summer,Jacket,4,747366.0,1950,2989464.0
2022-11-14,T-Shirt Basic,Accessory,1,993289.0,2427,993289.0
2022-06-14,Jeans Slim,Dress,4,1508156.0,2091,6032624.0
2022-08-13,Jacket Leather,Dress,3,1426314.0,2070,4278942.0
2022-11-03,Jacket Leather,Jacket,3,661989.0,1606,1985967.0
2022-08-22,Scarf Wool,Accessory,3,484191.0,2674,1452573.0
2022-06-21,T-Shirt Basic,Jacket,3,1336092.0,1369,4008276.0
2022-06-01,T-Shirt Basic,Accessory,2,649367.0,2629,1298734.0
2022-11-11,T-Shirt Basic,T-Shirt,3,1680148.0,1232,5040444.0
2022-06-09,Jeans Slim,Jacket,2,450334.0,2426,900668.0
2022-04-06,Dress Summer,Accessory,2,743389.0,1908,1486778.0
2022-08-21,T-Shirt Basic,Dress,5,334920.0,2585,1674600.0
2022-06-29,T-Shirt Basic,Accessory,2,1340123.0,2047,2680246.0
2022-04-23,Hoodie Oversize,Accessory,2,1631457.0,1574,3262914.0
2022-11-14,Jeans Slim,Jacket,3,1235606.0,2291,3706818.0
2022-02-21,Scarf Wool,T-Shirt,2,1703517.0,1841,3407034.0
2022-09-25,T-Shirt Basic,T-Shirt,4,449181.0,1118,1796724.0
2022-10-22,Hoodie Oversize,T-Shirt,3,385988.0,2976,1157964.0
2022-04-23,Jacket Leather,T-Shirt,1,1549540.0,2624,1549540.0
2022-04-11,Scarf Wool,Jeans,3,1576042.0,2625,4728126.0
2022-04-23,T-Shirt Basic,Jacket,2,1538111.0,2079,3076222.0
2022-03-22,T-Shirt Basic,Hoodie,4,1488396.0,2177,5953584.0
2022-07-06,Hoodie Oversize,Jacket,3,811454.0,2263,2434362.0
2022-04-23,Jeans Slim,Jeans,4,587066.0,2289,2348264.0
2022-01-02,T-Shirt Basic,T-Shirt,1,1689646.0,1268,1689646.0
2022-05-10,Jacket Leather,Jeans,1,725850.0,2931,725850.0
2022-08-08,T-Shirt Basic,Dress,5,867532.0,1113,4337660.0
2022-02-23,Jacket Leather,Dress,5,1334316.0,1166,6671580.0
2022-12-09,Scarf Wool,Jacket,3,704702.0,1668,2114106.0
2022-08-12,Scarf Wool,Jacket,5,1519652.0,2032,7598260.0
2022-08-13,Dress Summer,Hoodie,4,358554.0,1714,1434216.0
2022-05-06,Dress Summer,Hoodie,5,1476333.0,2241,7381665.0
2022-05-10,Jacket Leather,Dress,4,1182870.0,1431,4731480.0
2022-02-22,Jeans Slim,T-Shirt,5,1138140.0,2316,5690700.0
2022-06-21,T-Shirt Basic,Jeans,5,960484.0,1893,4802420.0
2022-08-06,T-Shirt Basic,Hoodie,5,679421.0,2074,3397105.0
2022-06-09,Dress Summer,Accessory,2,969309.0,1107,1938618.0
2022-07-17,Jacket Leather,Hoodie,2,947544.0,2033,1895088.0
2022-09-04,T-Shirt Basic,T-Shirt,5,1154819.0,1745,5774095.0
2022-11-20,T-Shirt Basic,T-Shirt,4,686440.0,1700,2745760.0
2022-07-22,Jeans Slim,Jacket,3,370273.0,2480,1110819.0
2022-07-03,Hoodie Oversize,Jeans,1,474889.0,1323,474889.0
2022-05-03,Dress Summer,T-Shirt,2,1333725.0,1309,2667450.0
2022-09-12,Dress Summer,Hoodie,5,284863.0,1850,1424315.0
2022-10-21,Hoodie Oversize,Hoodie,1,1577487.0,1622,1577487.0
2022-10-07,T-Shirt Basic,Dress,2,1326316.0,1995,2652632.0
2022-11-21,Jeans Slim,T-Shirt,3,1440534.0,1145,4321602.0
2022-04-08,Jeans Slim,Accessory,4,1545776.0,1740,6183104.0
2022-07-17,Dress Summer,Jacket,5,440201.0,1821,2201005.0
2022-08-28,Jeans Slim,Jeans,3,1524799.0,1412,4574397.0
2022-05-24,Scarf Wool,Accessory,2,1032196.0,1114,2064392.0
2022-04-07,Hoodie Oversize,Jacket,5,1622562.0,1575,8112810.0
2022-07-20,T-Shirt Basic,Hoodie,1,1624209.0,1399,1624209.0
2022-05-04,Scarf Wool,Accessory,4,287476.0,2299,1149904.0
2022-07-06,Hoodie Oversize,Jacket,2,843441.0,1124,1686882.0
2022-11-22,Jacket Leather,Hoodie,4,1065918.0,1086,4263672.0
2022-12-15,Dress Summer,Hoodie,5,1301458.0,2606,6507290.0
2022-09-16,Jeans Slim,Hoodie,3,693589.0,1047,2080767.0
2022-05-28,Jacket Leather,Hoodie,4,640821.0,2735,2563284.0
2022-09-09,Jeans Slim,Hoodie,1,840962.0,2900,840962.0
2022-12-12,Scarf Wool,Dress,2,1026455.0,1944,2052910.0
2022-05-27,T-Shirt Basic,Accessory,1,1724277.0,2225,1724277.0
2022-05-28,T-Shirt Basic,Jacket,4,1431268.0,2300,5725072.0
2022-12-18,T-Shirt Basic,Dress,3,915448.0,2573,2746344.0
2022-07-18,Jeans Slim,Dress,3,334268.0,2739,1002804.0
2022-11-04,Jacket Leather,T-Shirt,1,511207.0,2154,511207.0
2022-05-08,T-Shirt Basic,T-Shirt,5,956683.0,2472,4783415.0
2022-02-08,Jacket Leather,T-Shirt,5,1511430.0,1804,7557150.0
2022-12-04,Jeans Slim,Jeans,3,840078.0,1389,2520234.0
2022-12-26,Scarf Wool,T-Shirt,1,1084670.0,1576,1084670.0
2022-05-09,Jacket Leather,Jacket,1,1632298.0,2287,1632298.0
2022-09-24,Scarf Wool,Dress,1,1666384.0,2990,1666384.0
2022-05-31,Jeans Slim,Jacket,4,584451.0,1632,2337804.0
2022-10-25,Jeans Slim,Accessory,5,317572.0,2302,1587860.0
2022-04-09,Dress Summer,T-Shirt,5,723386.0,1714,3616930.0
2022-09-20,Jeans Slim,Jeans,4,1328494.0,2070,5313976.0
2022-09-09,Jeans Slim,Accessory,2,1724224.0,2192,3448448.0
2022-05-24,Hoodie Oversize,Jeans,4,369400.0,2469,1477600.0
2022-12-12,T-Shirt Basic,Accessory,1,294150.0,1622,294150.0
2022-04-22,Dress Summer,Dress,4,1620428.0,1046,6481712.0
2022-03-01,Dress Summer,Jacket,1,1409625.0,1724,1409625.0
2022-01-02,Dress Summer,Hoodie,3,1787985.0,1540,5363955.0
2022-10-31,Hoodie Oversize,Jacket,1,865029.0,1087,865029.0
2022-09-11,Scarf Wool,T-Shirt,5,894879.0,1803,4474395.0
2022-05-20,Jeans Slim,Hoodie,4,517083.0,2409,2068332.0
2022-02-06,T-Shirt Basic,Jeans,1,429563.0,2693,429563.0
2022-06-09,Jacket Leather,Dress,2,1147013.0,1265,2294026.0
2022-01-09,Scarf Wool,Dress,3,814642.0,2801,2443926.0
2022-08-21,Jeans Slim,Jeans,2,374490.0,2046,748980.0
2022-04-09,Hoodie Oversize,T-Shirt,2,1624830.0,2792,3249660.0
2022-05-27,Jeans Slim,Jeans,2,557453.0,1703,1114906.0
2022-10-31,Jeans Slim,Accessory,3,1410306.0,2474,4230918.0
2022-07-27,Hoodie Oversize,T-Shirt,3,687454.0,3000,2062362.0
2022-05-11,Dress Summer,Hoodie,3,1510002.0,1232,4530006.0
2022-06-01,Dress Summer,Jeans,3,433515.0,1186,1300545.0
2022-02-23,T-Shirt Basic,T-Shirt,2,1421911.0,1326,2843822.0
2022-04-30,T-Shirt Basic,Hoodie,5,402084.0,2207,2010420.0
2022-06-10,Dress Summer,Jeans,5,942719.0,1397,4713595.0
2022-04-26,Scarf Wool,Dress,3,1387707.0,2505,4163121.0
2022-03-16,Jacket Leather,Jeans,4,518488.0,2427,2073952.0
2022-04-23,Jeans Slim,Jacket,1,692781.0,2487,692781.0
2022-04-14,Jacket Leather,Jeans,4,1590389.0,2441,6361556.0
2022-12-06,Jeans Slim,Jacket,4,1621935.0,2226,6487740.0
2022-09-11,Dress Summer,Hoodie,4,319650.0,2089,1278600.0
2022-08-15,T-Shirt Basic,Jeans,5,510540.0,1956,2552700.0
2022-04-22,Scarf Wool,Hoodie,1,432082.0,2932,432082.0
2022-04-09,T-Shirt Basic,Hoodie,4,528524.0,1555,2114096.0
2022-06-02,Jacket Leather,T-Shirt,3,1753791.0,1733,5261373.0
2022-12-15,T-Shirt Basic,Hoodie,5,1105066.0,2041,5525330.0
2022-12-04,Dress Summer,Hoodie,3,975574.0,2860,2926722.0
2022-07-13,Scarf Wool,Jeans,3,1775924.0,1797,5327772.0
2022-11-06,Jacket Leather,Jeans,4,1113282.0,2207,4453128.0
2022-06-12,Scarf Wool,Dress,3,1274733.0,1391,3824199.0
2022-07-27,Jeans Slim,T-Shirt,1,765794.0,1044,765794.0
2022-06-18,T-Shirt Basic,Hoodie,3,842278.0,2997,2526834.0
2022-06-10,Scarf Wool,T-Shirt,4,1171335.0,1901,4685340.0
2022-03-09,Hoodie Oversize,Jacket,3,358168.0,2724,1074504.0
2022-10-16,T-Shirt Basic,Hoodie,5,646618.0,2926,3233090.0
2022-10-04,Jeans Slim,T-Shirt,5,555058.0,1482,2775290.0
2022-10-31,Scarf Wool,Dress,5,274635.0,2287,1373175.0
2022-05-15,Jacket Leather,Dress,2,1082197.0,2198,2164394.0
2022-07-14,Jeans Slim,Hoodie,5,1119632.0,2465,5598160.0
2022-05-08,Hoodie Oversize,Jacket,5,845106.0,1566,4225530.0
2022-02-02,Scarf Wool,Dress,2,666528.0,1220,1333056.0
2022-06-25,Dress Summer,Dress,5,1260693.0,2582,6303465.0
2022-01-22,T-Shirt Basic,Jacket,4,458722.0,2418,1834888.0
2022-08-26,Jacket Leather,T-Shirt,5,1053853.0,1772,5269265.0
2022-06-07,Dress Summer,Dress,5,1440515.0,2219,7202575.0
2022-02-07,Scarf Wool,Jeans,2,504662.0,1409,1009324.0
2022-08-18,Scarf Wool,Accessory,4,1417552.0,1471,5670208.0
2022-12-31,Jeans Slim,Accessory,3,1429231.0,2371,4287693.0
2022-02-20,Scarf Wool,Dress,1,342886.0,2486,342886.0
2022-09-21,Jacket Leather,T-Shirt,4,279116.0,2085,1116464.0
2022-10-10,Dress Summer,T-Shirt,3,1759600.0,1166,5278800.0
2022-01-27,Jacket Leather,Hoodie,4,549743.0,1672,2198972.0
2022-08-14,Hoodie Oversize,Jeans,3,1524316.0,2175,4572948.0
2022-10-04,Hoodie Oversize,T-Shirt,3,1120869.0,1111,3362607.0
2022-10-13,T-Shirt Basic,Jacket,4,659932.0,2512,2639728.0
2022-04-07,T-Shirt Basic,Jeans,2,451454.0,1549,902908.0
2022-10-11,Hoodie Oversize,Accessory,4,1019850.0,2027,4079400.0
2022-11-13,Scarf Wool,Jeans,4,881400.0,2507,3525600.0
2022-10-31,Jacket Leather,Jacket,3,1333273.0,2037,3999819.0
2022-05-27,Hoodie Oversize,Dress,1,1651461.0,2186,1651461.0
2022-01-04,T-Shirt Basic,Jacket,3,1498135.0,1344,4494405.0
2022-02-04,Hoodie Oversize,Jacket,5,675401.0,2473,3377005.0
2022-07-11,Scarf Wool,Dress,4,1612346.0,1332,6449384.0
2022-02-18,Hoodie Oversize,Dress,4,1541757.0,1264,6167028.0
2022-01-17,Jacket Leather,Dress,2,1690161.0,1083,3380322.0
2022-06-21,Dress Summer,Dress,3,960924.0,1777,2882772.0
2022-08-08,Scarf Wool,Dress,2,1441292.0,1924,2882584.0
2022-06-07,T-Shirt Basic,Jacket,4,1167070.0,1334,4668280.0
2022-02-15,Jacket Leather,Hoodie,3,731279.0,2404,2193837.0
2022-01-06,Hoodie Oversize,Hoodie,3,1791368.0,2243,5374104.0
2022-04-09,Hoodie Oversize,T-Shirt,5,309377.0,1658,1546885.0
2022-08-21,Dress Summer,Hoodie,5,501522.0,2834,2507610.0
2022-02-06,T-Shirt Basic,Accessory,1,1633441.0,2833,1633441.0
2022-10-07,T-Shirt Basic,Hoodie,5,343872.0,1454,1719360.0
2022-12-15,Jeans Slim,Jacket,3,1624572.0,1673,4873716.0
2022-10-29,T-Shirt Basic,Dress,5,1358593.0,1741,6792965.0
2022-06-30,Dress Summer,Dress,1,306860.0,2770,306860.0
2022-04-05,Jeans Slim,Jacket,4,915446.0,2113,3661784.0
2022-04-09,Jeans Slim,Accessory,5,1419431.0,1333,7097155.0
2022-07-07,Hoodie Oversize,Hoodie,3,1153805.0,1310,3461415.0
2022-04-26,Hoodie Oversize,Jacket,4,1700601.0,1727,6802404.0
2022-07-10,T-Shirt Basic,T-Shirt,3,1594848.0,2444,4784544.0
2022-09-10,Jeans Slim,Dress,4,765604.0,2633,3062416.0
2022-06-10,Hoodie Oversize,Jeans,3,381172.0,2749,1143516.0
2022-09-13,Dress Summer,T-Shirt,5,1713598.0,1354,8567990.0
2022-11-19,Hoodie Oversize,Accessory,5,1051794.0,1824,5258970.0
2022-05-08,Scarf Wool,T-Shirt,1,365316.0,2124,365316.0
2022-01-18,Scarf Wool,Jacket,4,1515692.0,1145,6062768.0
2022-10-08,Hoodie Oversize,Hoodie,1,1596185.0,2034,1596185.0
2022-08-11,Jeans Slim,Dress,2,1241108.0,2068,2482216.0
2022-02-23,Jeans Slim,Accessory,5,943639.0,2787,4718195.0
2022-02-27,Jacket Leather,Accessory,4,1276368.0,2410,5105472.0
2022-11-19,Scarf Wool,Jeans,1,1345360.0,2763,1345360.0
2022-12-26,Dress Summer,T-Shirt,1,1634196.0,1910,1634196.0
2022-06-23,Jeans Slim,Jeans,2,1731586.0,1761,3463172.0
2022-10-07,T-Shirt Basic,Hoodie,1,1047197.0,1495,1047197.0
2022-04-24,Scarf Wool,Hoodie,3,1487667.0,2517,4463001.0
2022-10-15,Dress Summer,Jeans,5,1744990.0,2193,8724950.0
2022-12-08,Dress Summer,Dress,1,484427.0,1642,484427.0
2022-05-31,Jeans Slim,Hoodie,1,278315.0,1531,278315.0
2022-05-07,Dress Summer,Jeans,2,1596894.0,2360,3193788.0
2022-06-04,Jeans Slim,T-Shirt,3,552674.0,2771,1658022.0
2022-09-30,Hoodie Oversize,Jeans,1,315842.0,2881,315842.0
2022-04-14,Scarf Wool,Jeans,5,498149.0,1513,2490745.0
2022-10-26,Jacket Leather,Jacket,5,845378.0,1130,4226890.0
2022-09-03,Hoodie Oversize,Hoodie,1,589862.0,2008,589862.0
2022-06-25,Scarf Wool,Dress,3,723143.0,2563,2169429.0
2022-02-08,Jeans Slim,Dress,5,1761706.0,2538,8808530.0
2022-06-19,Scarf Wool,Jacket,5,1341829.0,2274,6709145.0
